"","hotel","rating","price","distance","page","star","ctry"
"2989","Marlasca","
                
                80 / 100
                Vurdering
                                2029 Anmeldelser
            ","
        â€Ž457 kr
    ","
                0,2 km til Centrum
 ",1,2,10
"2990","12 Rooms","
                
                72 / 100
                Vurdering
                                762 Anmeldelser
            ","
        â€Ž380 kr
    ","
                0,2 km til Centrum
 ",1,2,10
"2991","Plaza Mayor","
                
                79 / 100
                Vurdering
                                1728 Anmeldelser
            ","
        â€Ž824 kr
    ","
                0,3 km til Centrum
 ",1,2,10
"2992","Suite Alhambra","
                
                82 / 100
                Vurdering
                                1887 Anmeldelser
            ","
        â€Ž895 kr
    ","
                0,1 km til Centrum
 ",1,3,10
"2993","Moderno","
                
                81 / 100
                Vurdering
                                3020 Anmeldelser
            ","
        â€Ž914 kr
    ","
                0,1 km til Centrum
 ",1,3,10
"2994","Petit Palace Puerta del Sol","
                
                79 / 100
                Vurdering
                                2258 Anmeldelser
            ","
        â€Ž927 kr
    ","
                0,1 km til Centrum
 ",1,3,10
"2995","Petit Palace Londres","
                
                76 / 100
                Vurdering
                                2302 Anmeldelser
            ","
        â€Ž893 kr
    ","
                0,1 km til Centrum
 ",1,3,10
"2996","Ateneo","
                
                81 / 100
                Vurdering
                                1250 Anmeldelser
            ","
        â€Ž738 kr
    ","
                0,2 km til Centrum
 ",1,3,10
"2997","Apartamentos El Tiempo Madrid","
                
                80 / 100
                Vurdering
                                443 Anmeldelser
            ","
        â€Ž895 kr
    ","
                0,2 km til Centrum
 ",1,3,10
"2998","Victoria 4","
                
                81 / 100
                Vurdering
                                2127 Anmeldelser
            ","
        â€Ž1.000 kr
    ","
                0,2 km til Centrum
 ",1,3,10
"2999","Apartamentos Sol Deluxe Madrid","
                
                75 / 100
                Vurdering
                                181 Anmeldelser
            ","
        â€Ž1.048 kr
    ","
                0,2 km til Centrum
 ",1,3,10
